cusID,sex,age,area
00001,M,60세이상,060
00002,M,60세이상,100
00003,M,60세이상,033
00004,F,60세이상,016
00005,M,60세이상,100
00006,F,60세이상,240
00007,F,60세이상,036
00008,M,60세이상,010
00009,F,60세이상,100
00010,F,60세이상,024
00011,M,60세이상,100
00012,M,60세이상,043
00013,F,60세이상,210
00014,F,60세이상,043
00015,F,60세이상,024
00016,F,60세이상,460
00017,M,60세이상,043
00018,F,60세이상,210
00019,F,60세이상,100
00020,M,60세이상,033
00021,M,60세이상,055
00022,F,60세이상,NA
00023,M,60세이상,055
00024,M,60세이상,043
00025,F,60세이상,460
00026,F,60세이상,460
00027,M,60세이상,060
00028,F,60세이상,047
00029,M,60세이상,210
00030,F,60세이상,043
00031,F,60세이상,100
00032,F,60세이상,100
00033,M,60세이상,100
00034,F,60세이상,039
00035,F,60세이상,440
00036,M,60세이상,100
00037,F,60세이상,016
00038,F,60세이상,055
00039,F,60세이상,043
00040,M,60세이상,100
00041,M,60세이상,055
00042,M,60세이상,055
00043,F,60세이상,100
00044,F,60세이상,055
00045,F,60세이상,100
00046,F,60세이상,043
00047,F,60세이상,055
00048,F,60세이상,210
00049,F,60세이상,055
00050,F,60세이상,016
00051,F,60세이상,210
00052,F,60세이상,087
00053,M,60세이상,065
00054,F,60세이상,100
00055,F,60세이상,100
00056,F,60세이상,100
00057,F,60세이상,100
00058,F,60세이상,024
00059,F,60세이상,055
00060,F,60세이상,013
00061,F,60세이상,055
00062,F,60세이상,460
00063,F,60세이상,100
00064,M,60세이상,100
00065,F,60세이상,055
00066,F,60세이상,024
00067,F,60세이상,049
00068,M,60세이상,100
00069,F,60세이상,100
00070,M,60세이상,065
00071,F,60세이상,016
00072,F,60세이상,100
00073,F,60세이상,460
00074,F,60세이상,055
00075,M,60세이상,036
00076,F,60세이상,100
00077,F,60세이상,460
00078,F,60세이상,100
00079,F,60세이상,055
00080,F,60세이상,055
00081,F,60세이상,016
00082,F,60세이상,055
00083,F,60세이상,060
00084,F,60세이상,100
00085,F,60세이상,100
00086,F,60세이상,100
00087,M,60세이상,013
00088,F,60세이상,049
00089,F,60세이상,055
00090,F,60세이상,055
00091,F,60세이상,100
00092,F,60세이상,100
00093,F,60세이상,460
00094,F,60세이상,100
00095,M,60세이상,100
00096,F,60세이상,055
00097,M,60세이상,360
00098,F,60세이상,049
00099,F,60세이상,100
00100,F,60세이상,055
00101,F,60세이상,055
00102,F,60세이상,055
00103,F,60세이상,024
00104,F,60세이상,049
00105,M,60세이상,100
00106,F,60세이상,100
00107,F,60세이상,060
00108,F,60세이상,069
00109,F,60세이상,100
00110,M,60세이상,055
00111,F,60세이상,460
00112,F,60세이상,210
00113,F,60세이상,016
00114,F,60세이상,100
00115,F,60세이상,055
00116,F,60세이상,060
00117,F,60세이상,055
00118,F,60세이상,460
00119,M,60세이상,410
00120,F,60세이상,016
00121,F,60세이상,460
00122,F,60세이상,024
00123,F,60세이상,055
00124,F,60세이상,016
00125,F,60세이상,060
00126,F,60세이상,055
00127,F,60세이상,460
00128,F,60세이상,060
00129,F,60세이상,340
00130,F,60세이상,013
00131,F,60세이상,016
00132,F,60세이상,100
00133,M,60세이상,100
00134,F,60세이상,100
00135,F,60세이상,100
00136,F,60세이상,100
00137,F,60세이상,055
00138,M,60세이상,500
00139,M,60세이상,087
00140,F,60세이상,065
00141,F,60세이상,033
00142,F,60세이상,100
00143,F,60세이상,036
00144,F,60세이상,072
00145,F,60세이상,055
00146,F,60세이상,460
00147,M,60세이상,500
00148,F,60세이상,065
00149,F,60세이상,024
00150,F,60세이상,055
00151,M,60세이상,024
00152,F,60세이상,013
00153,F,60세이상,016
00154,M,60세이상,460
00155,M,60세이상,610
00156,F,60세이상,340
00157,F,60세이상,060
00158,M,60세이상,460
00159,F,60세이상,460
00160,F,60세이상,100
00161,F,60세이상,100
00162,F,60세이상,340
00163,F,60세이상,047
00164,M,60세이상,060
00165,M,60세이상,100
00166,M,60세이상,100
00167,F,60세이상,100
00168,F,60세이상,065
00169,F,60세이상,210
00170,F,60세이상,460
00171,F,60세이상,055
00172,F,60세이상,055
00173,F,60세이상,100
00174,F,60세이상,055
00175,F,60세이상,055
00176,F,60세이상,060
00177,F,60세이상,100
00178,F,60세이상,055
00179,F,60세이상,100
00180,F,60세이상,049
00181,F,60세이상,460
00182,F,60세이상,460
00183,F,60세이상,100
00184,F,60세이상,100
00185,F,60세이상,100
00186,F,60세이상,045
00187,F,60세이상,460
00188,F,60세이상,055
00189,F,60세이상,100
00190,M,60세이상,100
00191,F,60세이상,060
00192,F,60세이상,055
00193,F,60세이상,055
00194,F,60세이상,055
00195,M,60세이상,100
00196,F,60세이상,016
00197,F,60세이상,036
00198,F,60세이상,460
00199,F,60세이상,410
00200,F,60세이상,210
00201,F,60세이상,060
00202,F,60세이상,060
00203,F,60세이상,100
00204,F,60세이상,610
00205,F,60세이상,075
00206,M,60세이상,100
00207,F,60세이상,055
00208,F,60세이상,100
00209,F,60세이상,055
00210,F,60세이상,210
00211,F,60세이상,043
00212,F,60세이상,460
00213,F,60세이상,055
00214,F,60세이상,060
00215,F,60세이상,082
00216,F,60세이상,100
00217,F,60세이상,210
00218,F,60세이상,460
00219,F,60세이상,460
00220,M,60세이상,100
00221,F,60세이상,100
00222,F,60세이상,060
00223,M,60세이상,045
00224,M,60세이상,100
00225,F,60세이상,460
00226,M,60세이상,047
00227,F,60세이상,024
00228,F,60세이상,055
00229,F,60세이상,100
00230,F,60세이상,087
00231,F,60세이상,055
00232,F,60세이상,030
00233,F,60세이상,055
00234,M,60세이상,100
00235,F,60세이상,060
00236,F,60세이상,100
00237,F,60세이상,072
00238,F,60세이상,100
00239,F,60세이상,210
00240,M,60세이상,100
00241,M,60세이상,100
00242,M,60세이상,100
00243,M,60세이상,100
00244,F,60세이상,100
00245,F,60세이상,060
00246,M,60세이상,100
00247,F,60세이상,060
00248,M,60세이상,100
00249,F,60세이상,460
00250,F,60세이상,460
00251,F,60세이상,100
00252,F,60세이상,016
00253,M,60세이상,100
00254,F,60세이상,043
00255,F,60세이상,460
00256,F,60세이상,460
00257,F,60세이상,055
00258,F,60세이상,043
00259,M,60세이상,049
00260,F,60세이상,055
00261,M,60세이상,460
00262,F,60세이상,060
00263,F,60세이상,100
00264,F,60세이상,210
00265,F,60세이상,460
00266,F,60세이상,016
00267,F,60세이상,100
00268,F,60세이상,060
00269,F,60세이상,060
00270,F,60세이상,049
00271,F,60세이상,100
00272,F,60세이상,100
00273,M,60세이상,460
00274,F,60세이상,100
00275,M,60세이상,055
00276,M,60세이상,039
00277,F,60세이상,460
00278,M,60세이상,210
00279,F,60세이상,100
00280,M,60세이상,016
00281,M,60세이상,024
00282,F,60세이상,100
00283,F,60세이상,100
00284,M,60세이상,100
00285,F,60세이상,024
00286,F,60세이상,049
00287,F,60세이상,100
00288,F,60세이상,055
00289,M,60세이상,049
00290,F,60세이상,055
00291,M,60세이상,036
00292,F,60세이상,055
00293,F,60세이상,055
00294,F,60세이상,460
00295,M,60세이상,043
00296,F,60세이상,340
00297,F,60세이상,072
00298,F,60세이상,100
00299,F,60세이상,075
00300,F,60세이상,100
00301,F,60세이상,460
00302,F,60세이상,060
00303,F,60세이상,055
00304,F,60세이상,610
00305,F,60세이상,100
